category,main_category,goal,outcome,backers,country
Shorts,Film & Video,1200,successful,29,US
Narrative Film,Film & Video,5000,successful,61,US
Electronic Music,Music,2850,failed,0,US
Animation,Film & Video,50000,failed,6,US
Product Design,Design,7000,failed,64,US
Documentary,Film & Video,3000,canceled,1,US
Fashion,Fashion,8000,failed,0,US
Indie Rock,Music,500,successful,25,US
Art,Art,3000,failed,3,US
Music,Music,20000,failed,3,US
Rock,Music,10000,successful,77,US
Product Design,Design,10000,failed,1,US
Dance,Dance,5500,failed,9,US
Poetry,Publishing,5000,canceled,1,US
Pop,Music,6500,failed,14,US
Anthologies,Publishing,6000,successful,233,US
Nonfiction,Publishing,10000,canceled,2,US
Theater,Theater,2500,failed,2,US
Graphic Design,Design,3000,successful,169,US
Indie Rock,Music,1000,successful,31,US
Shorts,Film & Video,5700,failed,35,US
Fashion,Fashion,8500,canceled,0,US
Tabletop Games,Games,10000,failed,23,US
Film & Video,Film & Video,2000,canceled,0,AU
Crafts,Crafts,10000,failed,0,US
Product Design,Design,500,failed,4,GB
Mixed Media,Art,5000,failed,0,US
Music,Music,6000,failed,1,US
World Music,Music,2000,failed,0,US
Television,Film & Video,19000,failed,2,US
Hardware,Technology,12000,successful,164,GB
Tabletop Games,Games,18500,failed,4,US
Food,Food,200,failed,2,US
Tabletop Games,Games,25000,failed,48,US
Documentary,Film & Video,20000,failed,0,US
Candles,Crafts,1000,failed,0,US
Publishing,Publishing,7450,failed,13,CA
Comedy,Film & Video,35000,failed,8,US
Video Games,Games,50000,failed,0,GB
Documentary,Film & Video,2700,failed,1,CA
Video Games,Games,30000,failed,1,US
Hip-Hop,Music,2300,successful,35,US
Comic Books,Comics,4000,failed,7,US
Web,Journalism,5000,failed,4,US
Accessories,Fashion,10000,canceled,0,US
Theater,Theater,12500,failed,1,US
Community Gardens,Food,20000,failed,2,US
Film & Video,Film & Video,5000,successful,75,US
World Music,Music,15000,failed,0,IT
Food,Food,10000,failed,1,US
Product Design,Design,23000,failed,5,US
World Music,Music,8000,successful,141,US
Webseries,Film & Video,1500,failed,0,US
Ready-to-wear,Fashion,15000,failed,15,US
Music,Music,1000,successful,20,US
Theater,Theater,10000,failed,1,US
Pop,Music,1500,successful,12,AU
Web,Journalism,250,successful,11,US
Fiction,Publishing,15000,canceled,0,US
Design,Design,10000,failed,5,US
Product Design,Design,1200,successful,22,US
Narrative Film,Film & Video,1500,canceled,8,GB
Children's Books,Publishing,40000,canceled,3,US
Events,Food,200,failed,6,US
Documentary,Film & Video,16000,failed,56,US
Jazz,Music,3000,successful,69,CA
Comics,Comics,4000,successful,407,US
Theater,Theater,2500,successful,51,GB
Camera Equipment,Technology,97900,successful,109,US
Product Design,Design,50000,canceled,0,GB
Tabletop Games,Games,2000,failed,11,US
Cookbooks,Food,200,failed,0,US
Metal,Music,2000,failed,5,US
Food,Food,600,failed,2,US
Games,Games,100,successful,4,GB
Product Design,Design,30000,successful,162,IE
Video Games,Games,15000,failed,1,US
Video Games,Games,500,successful,33,US
Apps,Technology,25000,failed,1,GB
Narrative Film,Film & Video,5000,failed,10,US
Crafts,Crafts,15000,failed,88,US
Web,Technology,35000,canceled,0,US
Restaurants,Food,50000,failed,1,US
Food,Food,10000,failed,0,US
Playing Cards,Games,1500,failed,0,US
Documentary,Film & Video,3000,failed,6,US
Photography,Photography,1000,failed,2,GB
Theater,Theater,3000,failed,18,US
Documentary,Film & Video,100000,successful,125,MX
Apparel,Fashion,3000,canceled,6,US
Drinks,Food,15000,canceled,3,US
Video Games,Games,346532,failed,95,US
Live Games,Games,200,canceled,1,US
Music,Music,25000,failed,0,US
Technology,Technology,5000,failed,6,US
Hardware,Technology,50000,failed,23,US
Wearables,Technology,200000,canceled,1,US
Small Batch,Food,1000,successful,89,US
Photography,Photography,3000,failed,25,US
Interactive Design,Design,12000,failed,131,GB
Comics,Comics,8000,successful,120,US
Fashion,Fashion,5000,failed,1,US
Product Design,Design,17500,failed,5,IT
Tabletop Games,Games,800,successful,54,US
Music,Music,3500,canceled,1,US
Documentary,Film & Video,350,successful,15,US
Shorts,Film & Video,25000,failed,17,US
Music,Music,14622,failed,3,US
Publishing,Publishing,15000,canceled,0,US
Food,Food,50000,failed,4,US
Nonfiction,Publishing,1500,failed,0,US
Shorts,Film & Video,2500,successful,33,US
Nonfiction,Publishing,25000,failed,0,US
Jazz,Music,5000,successful,121,US
Crafts,Crafts,9000,successful,391,US
Publishing,Publishing,5000,failed,26,US
Shorts,Film & Video,30000,successful,397,US
Classical Music,Music,4000,successful,49,US
Fiction,Publishing,4000,failed,5,US
Food,Food,30000,failed,31,US
Fine Art,Photography,5000,failed,7,US
Places,Photography,350,failed,2,GB
Children's Books,Publishing,10000,failed,0,US
Film & Video,Film & Video,62000,failed,7,US
Fashion,Fashion,6000,successful,94,SG
Film & Video,Film & Video,50000,failed,0,US
Shorts,Film & Video,4500,successful,37,US
Public Art,Art,100000,failed,2,AT
Ceramics,Art,10000,successful,57,US
Rock,Music,1000,successful,41,US
Mobile Games,Games,20000,failed,1,US
Woodworking,Crafts,7000,failed,15,US
Theater,Theater,18000,failed,0,US
Tabletop Games,Games,14000,successful,2244,US
Art,Art,3000,successful,67,US
Shorts,Film & Video,2500,successful,46,US
Technology,Technology,500,canceled,2,US
Tabletop Games,Games,12000,canceled,61,ES
Publishing,Publishing,3400,successful,26,US
Graphic Novels,Comics,8000,successful,102,US
Ready-to-wear,Fashion,12000,failed,0,GB
Film & Video,Film & Video,11000,failed,12,US
Web,Technology,12000,failed,2,US
Calendars,Publishing,10,successful,273,US
Comics,Comics,6500,successful,962,US
Product Design,Design,100000,canceled,29,AU
Performances,Dance,2500,successful,19,US
Drinks,Food,10488,failed,1,US
Accessories,Fashion,8000,failed,1,US
Video Games,Games,50000,failed,96,US
Food,Food,3500,successful,29,US
Classical Music,Music,1000,failed,12,US
Nonfiction,Publishing,17500,canceled,22,US
Apps,Technology,5000,canceled,0,US
Product Design,Design,14000,failed,111,US
Documentary,Film & Video,25000,failed,11,US
Drama,Film & Video,6500,successful,61,GB
Classical Music,Music,9000,canceled,58,GB
Apps,Technology,12560,failed,4,IT
Graphic Design,Design,1000,failed,1,US
Product Design,Design,45000,successful,624,US
Apps,Technology,1500,canceled,0,AU
Jazz,Music,3500,successful,59,US
Apparel,Fashion,3000,successful,18,US
Space Exploration,Technology,500000,failed,242,US
Product Design,Design,26500,failed,7,US
Apparel,Fashion,25000,successful,1093,US
Technology,Technology,125000,failed,0,US
Apparel,Fashion,2000,failed,3,US
Video Games,Games,50000,failed,4,US
Mobile Games,Games,40000,failed,0,AU
Photobooks,Photography,5000,failed,0,AU
Food,Food,4950,successful,37,US
Hardware,Technology,25000,successful,471,US
Crafts,Crafts,35000,failed,1,GB
Art,Art,5000,failed,16,US
Mobile Games,Games,100,failed,5,US
Children's Books,Publishing,1500,failed,2,GB
Art Books,Publishing,4200,successful,202,US
Video Games,Games,35000,failed,1,GB
Web,Technology,50000,failed,0,CA
Hardware,Technology,23650,failed,23,IT
Video Games,Games,1200,successful,142,GB
Narrative Film,Film & Video,20000,successful,59,US
Young Adult,Publishing,10000,failed,0,US
Games,Games,1500,successful,73,US
Video Games,Games,100000,canceled,64,US
Technology,Technology,5500,failed,3,US
Indie Rock,Music,10000,failed,2,US
Print,Journalism,6000,canceled,0,GB
Hardware,Technology,1570.79,successful,41,US
Pet Fashion,Fashion,8500,failed,28,US
Textiles,Art,5000,failed,2,US
Film & Video,Film & Video,15000,failed,1,US
Farms,Food,100000,failed,4,US
Performance Art,Art,6000,successful,38,US
Drinks,Food,30000,failed,82,US
Publishing,Publishing,2500,failed,2,US
Product Design,Design,3500,canceled,23,US
Shorts,Film & Video,18000,successful,203,AU
Playing Cards,Games,8000,failed,48,GB
Documentary,Film & Video,2000,failed,9,IT
Theater,Theater,2000,successful,33,US
Video Games,Games,20000,failed,517,GB
Farmer's Markets,Food,40000,successful,225,US
Product Design,Design,56185,failed,42,US
Gadgets,Technology,200000,canceled,1,AU
Mixed Media,Art,25000,failed,1,GB
Food Trucks,Food,75000,failed,0,US
Fashion,Fashion,16000,failed,70,US
Children's Books,Publishing,10000,canceled,0,US
Interactive Design,Design,25000,failed,1,US
Video Games,Games,250,successful,20,US
Apparel,Fashion,7500,failed,67,US
Pop,Music,1600,successful,22,US
Poetry,Publishing,3000,failed,19,US
Anthologies,Publishing,7500,failed,2,US
Nonfiction,Publishing,150000,failed,123,US
Product Design,Design,5428,failed,15,CA
Apps,Technology,20000,failed,28,NL
Design,Design,87150,failed,109,US
Design,Design,50000,failed,303,AU
Children's Books,Publishing,7500,failed,16,US
Documentary,Film & Video,150000,canceled,1,US
Painting,Art,2000,failed,0,US
3D Printing,Technology,3500,failed,1,US
Art,Art,5000,canceled,0,US
Product Design,Design,1500,failed,2,US
Farms,Food,500000,failed,1,US
Product Design,Design,250,successful,4,US
Children's Books,Publishing,10000,failed,33,US
Film & Video,Film & Video,10000,failed,40,US
Product Design,Design,250,canceled,5,US
Theater,Theater,1500,successful,12,US
Children's Books,Publishing,1000,failed,0,US
Art,Art,180000,failed,17,US
Product Design,Design,10000,successful,22,HK
Webseries,Film & Video,15000,canceled,5,US
Animation,Film & Video,750,failed,2,US
Playing Cards,Games,2222,failed,36,US
Video Games,Games,490000,canceled,110,SE
Graphic Novels,Comics,7000,successful,372,US
Shorts,Film & Video,700,successful,22,US
Mixed Media,Art,400,successful,17,GB
Nonfiction,Publishing,25000,failed,0,US
Shorts,Film & Video,13000,successful,64,US
Photography,Photography,3000,failed,0,US
Documentary,Film & Video,6000,successful,48,US
Drinks,Food,10000,canceled,3,US
Food,Food,1500,failed,0,US
Fashion,Fashion,2500,successful,58,US
Tabletop Games,Games,4900,successful,194,US
Nonfiction,Publishing,1250,failed,0,US
Classical Music,Music,12000,successful,124,US
Journalism,Journalism,2250,failed,2,US
Food,Food,15000,successful,115,US
Theater,Theater,8500,successful,95,US
DIY,Crafts,500,failed,0,GB
Product Design,Design,500,successful,19,US
Publishing,Publishing,7000,failed,0,US
Apps,Technology,14000,failed,1,US
Woodworking,Crafts,300,failed,3,US
Hardware,Technology,12500,failed,13,DE
Journalism,Journalism,2250,successful,44,US
Illustration,Art,1000,failed,2,NO
Painting,Art,500,successful,13,US
DIY,Crafts,13750,failed,14,US
Accessories,Fashion,15000,canceled,0,ES
Publishing,Publishing,3500,successful,120,US
Documentary,Film & Video,30000,failed,0,US
Film & Video,Film & Video,2050,failed,0,US
Shorts,Film & Video,3000,failed,2,US
Narrative Film,Film & Video,18500,successful,275,US
Shorts,Film & Video,11000,failed,9,US
Tabletop Games,Games,5000,successful,214,US
Documentary,Film & Video,15000,canceled,0,US
Academic,Publishing,3600,canceled,2,US
Public Art,Art,5000,successful,24,US
Apparel,Fashion,10000,failed,2,US
Pop,Music,14500,failed,6,US
Technology,Technology,12500,successful,337,US
Poetry,Publishing,22500,failed,1,NO
Nonfiction,Publishing,3500,successful,41,US
Comedy,Film & Video,1150,failed,1,US
Young Adult,Publishing,10000,failed,2,US
Webseries,Film & Video,40000,failed,44,US
Shorts,Film & Video,2500,successful,59,US
Art,Art,3000,failed,1,US
Tabletop Games,Games,15000,successful,3239,US
Film & Video,Film & Video,100000,successful,308,US
Food,Food,2000,successful,33,US
Small Batch,Food,3000,failed,5,US
Drama,Film & Video,1100,failed,1,GB
Documentary,Film & Video,10000,failed,15,US
Playing Cards,Games,9000,successful,218,US
Crafts,Crafts,2500,failed,4,US
Wearables,Technology,15000,failed,1,US
Video Games,Games,24000,canceled,95,CA
Playing Cards,Games,99,canceled,3,US
Dance,Dance,1100,successful,9,US
Video Games,Games,5000,failed,1,US
Musical,Theater,7000,successful,65,US
Nonfiction,Publishing,20000,failed,0,US
Documentary,Film & Video,18000,successful,162,US
Theater,Theater,5000,successful,117,US
Video Games,Games,250,failed,4,US
Fiction,Publishing,800,failed,0,IE
Documentary,Film & Video,8000,failed,0,US
Textiles,Art,2000,failed,9,GB
Tabletop Games,Games,7000,successful,255,US
Rock,Music,5500,successful,49,US
Video Games,Games,2500,failed,52,GB
Photography,Photography,5000,failed,0,US
Art Books,Publishing,12500,successful,375,US
Horror,Film & Video,75000,successful,907,DE
Hardware,Technology,55000,successful,1217,NL
Fashion,Fashion,250,failed,1,US
Narrative Film,Film & Video,50000,canceled,9,US
Public Art,Art,711,failed,1,US
DIY Electronics,Technology,23000,successful,982,US
Classical Music,Music,1500,successful,26,US
Sculpture,Art,5000,canceled,14,GB
Jewelry,Fashion,15000,successful,64,CA
Product Design,Design,8000,successful,331,US
Shorts,Film & Video,1200,successful,15,US
Theater,Theater,7500,failed,7,US
Video Games,Games,6000,canceled,14,US
Young Adult,Publishing,120,failed,1,US
Publishing,Publishing,10000,failed,8,US
Documentary,Film & Video,10000,failed,8,US
Technology,Technology,80000,failed,1,ES
Technology,Technology,16500,failed,9,US
Music,Music,1500,failed,5,US
Rock,Music,3000,failed,1,US
Publishing,Publishing,2000,successful,157,US
Food,Food,20000,failed,5,GB
Documentary,Film & Video,12750,failed,0,US
Nonfiction,Publishing,2500,successful,30,US
Product Design,Design,160000,failed,32,HK
Shorts,Film & Video,15000,successful,235,US
Theater,Theater,3000,successful,108,US
Music,Music,3500,failed,0,US
Photobooks,Photography,1000,failed,0,NL
Country & Folk,Music,3000,successful,37,US
Video Games,Games,2000,failed,11,US
Apparel,Fashion,17500,failed,1,US
Art,Art,1500,successful,34,US
Documentary,Film & Video,2500,failed,0,US
Tabletop Games,Games,7000,failed,93,US
Illustration,Art,500,successful,131,US
Poetry,Publishing,2000,failed,0,US
Small Batch,Food,3000,failed,5,US
Fiction,Publishing,1500,failed,4,US
Painting,Art,4000,failed,4,US
Music,Music,500,canceled,6,US
Tabletop Games,Games,1500,successful,34,US
Nonfiction,Publishing,1720,successful,23,US
Gadgets,Technology,75000,failed,22,IE
Music Videos,Film & Video,250,successful,12,US
Anthologies,Comics,20000,successful,3118,US
Nonfiction,Publishing,12000,successful,250,US
Apps,Technology,500,successful,19,GB
Electronic Music,Music,200,successful,43,US
Indie Rock,Music,1000,canceled,0,US
Art,Art,100,failed,6,US
Rock,Music,1000,successful,30,US
Fashion,Fashion,20000,successful,589,US
Apparel,Fashion,1500,failed,4,US
Public Art,Art,5000,failed,0,US
Photography,Photography,4000,failed,12,US
Hip-Hop,Music,40000,canceled,0,US
Product Design,Design,25000,failed,5,US
Theater,Theater,4000,successful,58,US
Webseries,Film & Video,5000,canceled,0,US
Technology,Technology,15000,failed,11,US
Photography,Photography,2000,failed,0,US
Children's Books,Publishing,3300,failed,5,US
Thrillers,Film & Video,4000,failed,3,IE
Comics,Comics,16000,successful,160,US
Photography,Photography,20000,failed,1,US
Product Design,Design,10000,successful,222,US
Mobile Games,Games,10000,failed,0,US
Farms,Food,50000,successful,456,US
Comics,Comics,3000,failed,4,US
Restaurants,Food,35000,failed,1,US
Shorts,Film & Video,1500,successful,15,US
Digital Art,Art,150,successful,5,US
Music,Music,1000,successful,50,DE
Photography,Photography,6500,successful,167,US
Dance,Dance,5000,successful,93,US
Romance,Film & Video,50000,canceled,5,MX
Film & Video,Film & Video,2500,failed,2,US
Technology,Technology,5000,failed,2,US
Documentary,Film & Video,64000,successful,325,US
Science Fiction,Film & Video,25000,failed,69,US
Comics,Comics,80000,failed,0,US
Film & Video,Film & Video,55555,failed,10,US
Apps,Technology,38000,successful,107,US
Nonfiction,Publishing,48000,failed,4,US
Apps,Technology,1200,failed,29,US
Photography,Photography,5750,failed,3,US
Technology,Technology,98000,failed,89,DE
Music,Music,5000,successful,28,US
Children's Books,Publishing,7000,failed,0,US
Playing Cards,Games,5500,successful,204,US
Product Design,Design,5000,failed,78,SG
Fiction,Publishing,3000,canceled,3,US
Video Games,Games,350,failed,5,US
Plays,Theater,5000,successful,69,US
Indie Rock,Music,15000,failed,31,US
Footwear,Fashion,50000,successful,591,AT
Shorts,Film & Video,10000,failed,25,US
Comic Books,Comics,4000,successful,179,US
Music,Music,5000,successful,65,US
Wearables,Technology,250000,canceled,355,US
Shorts,Film & Video,8500,failed,4,US
Tabletop Games,Games,20000,canceled,64,US
Art,Art,1000,failed,15,US
Restaurants,Food,300,failed,0,GB
Theater,Theater,500,successful,20,US
Tabletop Games,Games,40000,successful,742,US
Jewelry,Fashion,5000,canceled,0,AU
Film & Video,Film & Video,2000,failed,6,US
Food,Food,12000,failed,39,US
Gadgets,Technology,5000,successful,696,US
Romance,Film & Video,6000,successful,88,US
Film & Video,Film & Video,10000,failed,1,IT
Tabletop Games,Games,10000,successful,516,US
Apps,Technology,80000,failed,1,CA
Hip-Hop,Music,1000,successful,27,US
Performance Art,Art,1000,failed,4,US
Documentary,Film & Video,30000,canceled,109,US
Illustration,Art,7500,failed,17,CA
Rock,Music,500,successful,18,US
Art,Art,3250,canceled,3,US
Shorts,Film & Video,3000,failed,7,US
3D Printing,Technology,2250,successful,321,US
Narrative Film,Film & Video,25000,successful,206,US
Pop,Music,3000,failed,15,US
Indie Rock,Music,3800,failed,3,US
Food,Food,2000,failed,0,US
Apparel,Fashion,1000,canceled,1,US
Performance Art,Art,1008,successful,40,US
Fashion,Fashion,1500,successful,16,US
Rock,Music,1000,successful,91,GB
Webseries,Film & Video,10000,failed,13,US
Music Videos,Film & Video,35000,failed,0,US
Design,Design,50000,failed,41,CA
Video Games,Games,100000,failed,9,GB
Technology,Technology,700,failed,8,US
Graphic Design,Design,2000,canceled,0,CA
Apps,Technology,40000,failed,0,GB
Journalism,Journalism,2600,failed,5,US
Workshops,Dance,7000,failed,3,US
Rock,Music,1350,failed,1,US
Rock,Music,3000,failed,1,US
Periodicals,Publishing,2500,successful,101,GB
Mobile Games,Games,3000,failed,0,US
Fashion,Fashion,120000,failed,53,US
Food,Food,50000,failed,22,US
Design,Design,100,failed,0,US
Fashion,Fashion,15000,failed,0,US
Experimental,Film & Video,500,failed,1,CA
Nature,Photography,2500,failed,3,US
Music,Music,10411,successful,90,US
Music,Music,6500,successful,85,US
Film & Video,Film & Video,3000,successful,49,US
Film & Video,Film & Video,500,failed,0,US
Pop,Music,1000,failed,1,GB
Theater,Theater,2000,successful,81,GB
Conceptual Art,Art,9000,failed,1,US
Tabletop Games,Games,22440,successful,882,US
Documentary,Film & Video,10500,successful,117,US
Music,Music,200,failed,1,CA
Music,Music,6000,successful,49,US
Food,Food,13500,failed,18,US
Documentary,Film & Video,4000,failed,4,GB
Documentary,Film & Video,10000,failed,1,US
Radio & Podcasts,Publishing,853,canceled,10,US
Restaurants,Food,28000,failed,20,US
Installations,Art,10000,successful,86,US
Webcomics,Comics,12000,failed,43,US
Web,Technology,4500,successful,58,US
Print,Journalism,50000,failed,1,DE
Fashion,Fashion,200,failed,0,US
Children's Books,Publishing,1000,failed,10,US
DIY,Crafts,75000,failed,3,MX
Art,Art,400,successful,22,GB
Nonfiction,Publishing,10000,failed,12,US
Photography,Photography,20000,failed,0,US
Shorts,Film & Video,7500,canceled,1,US
Public Art,Art,40000,canceled,0,US
Narrative Film,Film & Video,10000,canceled,0,US
Childrenswear,Fashion,3000,failed,19,GB
Webseries,Film & Video,500,successful,5,US
Community Gardens,Food,1500,failed,17,NL
Festivals,Film & Video,1200,canceled,13,GB
Restaurants,Food,10000,failed,1,CA
Classical Music,Music,500,successful,19,US
Fiction,Publishing,900,successful,44,US
Pop,Music,8500,successful,117,US
Video Games,Games,4200,failed,1,US
Product Design,Design,20000,successful,288,US
Comic Books,Comics,1800,successful,39,US
Webseries,Film & Video,1000,successful,20,AU
Horror,Film & Video,3000,successful,23,GB
Anthologies,Publishing,10000,canceled,0,US
Video Games,Games,1000,failed,2,FR
Dance,Dance,2500,successful,54,US
Film & Video,Film & Video,150000,failed,0,US
Tabletop Games,Games,49000,canceled,2,US
Publishing,Publishing,10000,failed,0,US
Children's Books,Publishing,1000,successful,15,US
Documentary,Film & Video,12000,failed,15,US
Nonfiction,Publishing,5000,failed,2,US
Farms,Food,280000,failed,1,NL
Journalism,Journalism,850000,failed,2,CA
Fiction,Publishing,4877,failed,0,US
Product Design,Design,1000,successful,295,GB
Music,Music,528000,failed,1,US
Design,Design,10000,successful,112,US
Nonfiction,Publishing,45000,canceled,23,US
Public Art,Art,15000,successful,156,US
Technology,Technology,20000,failed,26,US
Science Fiction,Film & Video,1475225,failed,3,US
Children's Books,Publishing,3500,failed,39,US
Mixed Media,Art,8000,successful,121,US
Nonfiction,Publishing,200,failed,0,US
Documentary,Film & Video,27000,failed,19,US
Theater,Theater,1500,failed,14,US
Product Design,Design,30000,canceled,25,GB
Food Trucks,Food,8000,failed,0,US
Documentary,Film & Video,20000,failed,0,GB
Product Design,Design,20000,successful,166,US
Drama,Film & Video,5500,canceled,14,US
Letterpress,Crafts,1500,successful,97,US
Shorts,Film & Video,750,successful,16,US
Documentary,Film & Video,38750,failed,45,US
Dance,Dance,4000,successful,46,US
Children's Books,Publishing,3500,successful,104,US
Video Games,Games,12000,failed,9,GB
Space Exploration,Technology,100000,successful,1762,US
Comics,Comics,999,failed,6,US
Documentary,Film & Video,2500,failed,1,US
Technology,Technology,200000,canceled,128,US
Tabletop Games,Games,30000,failed,8,US
Pop,Music,3000,failed,3,GB
Theater,Theater,2500,successful,36,US
Photobooks,Photography,150,successful,8,US
Video Games,Games,50000,canceled,0,US
Conceptual Art,Art,100000,canceled,0,US
Crafts,Crafts,200,successful,83,US
Film & Video,Film & Video,6500,successful,130,US
Art,Art,15000,canceled,53,US
Tabletop Games,Games,4500,successful,75,US
Theater,Theater,3000,successful,70,US
World Music,Music,2500,failed,8,US
Documentary,Film & Video,3000,successful,23,US
Photography,Photography,200,canceled,0,US
Horror,Film & Video,5000,successful,45,US
Plays,Theater,4900,successful,33,US
Drama,Film & Video,3000,successful,11,US
Tabletop Games,Games,14000,successful,741,US
Hip-Hop,Music,8000,successful,135,US
Hip-Hop,Music,10000,failed,10,US
Shorts,Film & Video,1000,successful,53,US
Nonfiction,Publishing,900,successful,33,GB
Food Trucks,Food,8500,failed,24,US
Children's Books,Publishing,1300,successful,39,US
Wearables,Technology,40000,successful,315,US
Country & Folk,Music,4500,successful,102,US
Music,Music,5000,failed,0,US
Tabletop Games,Games,5000,failed,13,US
Crafts,Crafts,5000,failed,1,US
Festivals,Theater,1500,successful,63,GB
Design,Design,4000,successful,207,SG
Food,Food,33532,failed,69,GB
Art,Art,8750,successful,88,US
Documentary,Film & Video,25000,failed,1,US
Farms,Food,8000,failed,1,US
Video Games,Games,2500,canceled,2,US
Art,Art,150,successful,10,GB
Rock,Music,400,canceled,3,GB
Video Games,Games,2841,canceled,4,GB
Music,Music,15000,failed,8,US
Food,Food,5000,successful,139,US
Music,Music,200,successful,3,US
Shorts,Film & Video,11000,successful,71,US
Small Batch,Food,600,successful,3,US
Shorts,Film & Video,1663,successful,14,US
Public Art,Art,600,failed,6,US
Rock,Music,1100,canceled,2,US
Classical Music,Music,135000,failed,1,US
Digital Art,Art,500,failed,0,US
Periodicals,Publishing,5000,failed,0,US
Product Design,Design,8000,successful,815,CA
Faith,Music,5000,failed,22,FR
Gadgets,Technology,1,successful,109,US
Apps,Technology,25000,failed,1,NL
Photography,Photography,28000,failed,39,US
Product Design,Design,40000,failed,29,US
Jazz,Music,8000,failed,11,US
Zines,Publishing,50000,successful,1862,AU
Apps,Technology,5000,failed,17,GB
Spaces,Food,1600,failed,2,US
Apps,Technology,7500,failed,2,ES
Video Games,Games,15000,canceled,126,GB
Rock,Music,1600,successful,102,US
Food,Food,10000,successful,111,US
Film & Video,Film & Video,20000,failed,0,US
Country & Folk,Music,10000,failed,1,US
Playing Cards,Games,2000,successful,170,US
Tabletop Games,Games,18011,successful,687,US
Art,Art,160,successful,23,US
Children's Books,Publishing,10000,successful,96,US
Tabletop Games,Games,120000,canceled,50,HK
Hip-Hop,Music,2000,canceled,0,CA
Nature,Photography,800,failed,0,US
Apps,Technology,15000,failed,9,US
Accessories,Fashion,150,successful,6,US
Product Design,Design,20000,failed,47,US
Art Books,Publishing,1000,successful,26,US
Community Gardens,Food,300,successful,6,US
Architecture,Design,100000,canceled,1,DE
Graphic Design,Design,1000,failed,21,GB
Country & Folk,Music,5000,successful,54,US
Couture,Fashion,18000,successful,64,US
Documentary,Film & Video,10000,successful,28,US
Video Games,Games,5000,successful,143,US
Mobile Games,Games,5000,failed,1,US
Young Adult,Publishing,4000,failed,17,CA
Publishing,Publishing,125000,failed,0,US
Tabletop Games,Games,300,successful,54,US
Gadgets,Technology,7000,failed,2,DE
Narrative Film,Film & Video,30000,failed,12,US
Video Games,Games,30000,failed,9,US
Drama,Film & Video,1000,successful,17,US
Comics,Comics,3500,successful,127,US
Mixed Media,Art,650,failed,0,US
Product Design,Design,5500,failed,7,US
Publishing,Publishing,2500,successful,21,US
Children's Books,Publishing,1500,successful,53,US
Technology,Technology,20000,successful,38,AT
Painting,Art,1000,failed,1,US
Pop,Music,10000,successful,188,US
Documentary,Film & Video,3000,failed,3,US
Product Design,Design,8000,canceled,4,ES
Film & Video,Film & Video,200,successful,1,GB
Apparel,Fashion,10000,failed,16,GB
Pop,Music,10000,successful,155,US
Mixed Media,Art,1200,failed,7,US
Digital Art,Art,4000,canceled,0,US
Tabletop Games,Games,20000,successful,1309,US
Photography,Photography,12000,successful,84,US
Tabletop Games,Games,75000,failed,391,US
Tabletop Games,Games,1000,successful,35,US
Thrillers,Film & Video,1500,failed,0,US
Technology,Technology,120000,successful,70122,CA
Crafts,Crafts,3500,failed,2,US
Fashion,Fashion,2000,failed,0,GB
Webseries,Film & Video,1400,failed,0,US
Childrenswear,Fashion,5500,failed,7,GB
People,Photography,26000,canceled,0,US
Food Trucks,Food,12000,failed,2,US
Tabletop Games,Games,240,failed,3,US
Art,Art,450,successful,21,US
Interactive Design,Design,1700,failed,0,US
Music,Music,3456,successful,59,US
Nonfiction,Publishing,1000,failed,0,US
Documentary,Film & Video,8000,successful,118,US
Rock,Music,150,successful,9,US
Art,Art,2500,failed,2,GB
Documentary,Film & Video,4000,successful,34,US
People,Photography,1500,successful,27,US
Software,Technology,50000,failed,0,US
Children's Books,Publishing,5900,failed,16,US
Video Games,Games,833000,failed,8,US
Tabletop Games,Games,1000,failed,6,US
Product Design,Design,10000,canceled,24,US
Shorts,Film & Video,65000,failed,4,MX
Web,Technology,2500,canceled,0,US
Technology,Technology,25000,successful,297,US
Theater,Theater,6000,failed,2,US
Conceptual Art,Art,13000,failed,0,US
Pop,Music,2000,successful,67,GB
Video Games,Games,35000,failed,80,CA
Webseries,Film & Video,5000,successful,121,US
Narrative Film,Film & Video,3500,successful,59,US
Nonfiction,Publishing,5300,canceled,11,US
Nonfiction,Publishing,2500,failed,1,US
Woodworking,Crafts,5000,failed,0,US
Shorts,Film & Video,2000,failed,5,NL
Graphic Design,Design,100,successful,228,US
Performance Art,Art,10000,failed,3,GB
Indie Rock,Music,4500,failed,26,US
Product Design,Design,146667,canceled,47,US
Periodicals,Publishing,20000,failed,0,US
Pop,Music,15000,successful,239,US
Tabletop Games,Games,10000,successful,2417,US
Classical Music,Music,4100,successful,63,US
Photography,Photography,300,canceled,0,US
Art,Art,6000,failed,8,US
Mobile Games,Games,35000,failed,0,NO
Nonfiction,Publishing,5000,failed,0,US
Hip-Hop,Music,25000,failed,0,US
Indie Rock,Music,1000,successful,30,US
Documentary,Film & Video,10000,failed,0,US
Journalism,Journalism,25000,failed,1,US
Crafts,Crafts,1,successful,6,US
Fiction,Publishing,3000,failed,16,US
Fine Art,Photography,500,failed,2,US
Hip-Hop,Music,4000,failed,7,US
Food,Food,50000,successful,8,US
Academic,Publishing,3000,failed,2,AU
Product Design,Design,250,failed,1,US
Playing Cards,Games,4000,canceled,20,US
Woodworking,Crafts,10000,successful,139,US
