customerid,tenure,phoneservice,internetservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
7379-POKDZ,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.30,208.85,True
1266-NZYUI,72,Yes,DSL,Two year,No,Bank transfer (automatic),66.85,4758.80,False
7969-FFOWG,65,Yes,No,Two year,No,Mailed check,19.90,1292.60,False
4718-DHSMV,11,No,DSL,Month-to-month,Yes,Mailed check,35.80,363.15,False
5175-WLYXL,22,Yes,Fiber optic,Month-to-month,Yes,Mailed check,78.85,1600.25,False
7817-OMJNA,14,Yes,No,One year,No,Bank transfer (automatic),20.40,275.70,False
8728-SKJLR,41,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.25,3089.10,False
3137-NYQQI,17,Yes,DSL,One year,No,Mailed check,64.80,1175.60,False
7706-DZNKK,11,Yes,No,Month-to-month,Yes,Credit card (automatic),20.45,237.30,False
0236-HFWSV,15,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.35,1444.65,True
3900-AQPHZ,1,Yes,No,Month-to-month,No,Mailed check,19.90,19.90,True
5842-POCOP,5,Yes,Fiber optic,Month-to-month,Yes,Mailed check,88.90,454.15,True
2037-XJFUP,33,Yes,Fiber optic,One year,Yes,Electronic check,95.80,3036.75,True
8823-RLPWL,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),110.65,8065.65,False
9505-SQFSW,3,No,DSL,Month-to-month,No,Mailed check,40.30,92.50,False
7314-OXENN,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,82.00,184.65,True
3758-CKOQL,59,Yes,Fiber optic,One year,Yes,Credit card (automatic),107.00,6152.30,False
0322-CHQRU,2,Yes,DSL,Month-to-month,No,Electronic check,45.35,89.50,True
5676-CFLYY,71,Yes,DSL,Two year,Yes,Credit card (automatic),73.35,5154.50,False
7521-AFHAB,5,Yes,DSL,Month-to-month,No,Mailed check,44.80,220.45,False
0285-INHLN,27,Yes,DSL,Month-to-month,Yes,Credit card (automatic),54.75,1510.30,False
4678-DVQEO,1,Yes,DSL,Month-to-month,Yes,Electronic check,52.20,52.20,True
5125-CNDSP,63,No,DSL,One year,Yes,Bank transfer (automatic),40.60,2588.95,False
0691-IFBQW,46,Yes,Fiber optic,One year,Yes,Electronic check,110.00,4874.80,True
4992-LTJNE,72,Yes,DSL,Two year,No,Bank transfer (automatic),55.30,3983.60,False
2202-OUTMO,34,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),60.85,2003.60,False
0810-BDHAW,24,Yes,DSL,One year,No,Electronic check,78.40,1832.40,False
0229-LFJAF,72,Yes,DSL,Two year,No,Bank transfer (automatic),69.65,4908.25,False
7131-ZQZNK,60,No,DSL,Two year,No,Credit card (automatic),59.85,3590.20,False
3442-ZHHCC,68,Yes,DSL,One year,Yes,Credit card (automatic),76.90,5023.00,False
5726-CVNYA,8,Yes,No,Two year,Yes,Mailed check,19.85,146.60,False
9871-ELEYA,34,Yes,DSL,Two year,No,Credit card (automatic),67.65,2339.30,False
4257-GAESD,6,No,DSL,Month-to-month,No,Credit card (automatic),45.00,298.70,False
5173-WXOQV,2,Yes,DSL,Month-to-month,Yes,Mailed check,64.20,143.65,False
2040-OBMLJ,31,Yes,Fiber optic,One year,No,Credit card (automatic),81.70,2548.65,False
6286-ZHAOK,20,Yes,No,Month-to-month,Yes,Bank transfer (automatic),25.55,507.40,False
3807-XHCJH,1,Yes,No,Month-to-month,No,Electronic check,20.00,20.00,False
3009-JWMPU,62,Yes,Fiber optic,One year,Yes,Electronic check,96.75,6125.40,True
5671-RQRLP,70,Yes,Fiber optic,Two year,Yes,Credit card (automatic),75.65,5411.40,False
1450-GALXR,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,98.50,1058.25,True
8859-AXJZP,39,Yes,No,Two year,Yes,Mailed check,23.80,903.80,False
3174-AKMAS,46,Yes,DSL,Two year,Yes,Credit card (automatic),64.20,3009.50,False
3138-BKYAV,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.35,489.45,True
9926-PJHDQ,72,Yes,DSL,Two year,Yes,Bank transfer (automatic),76.80,5468.45,False
7382-DFJTU,18,Yes,DSL,Month-to-month,No,Credit card (automatic),55.20,1058.10,False
2798-NYLMZ,71,Yes,Fiber optic,Two year,Yes,Credit card (automatic),108.55,7616.00,False
4289-DTDKW,40,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.30,4113.10,True
1820-TQVEV,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.55,69.55,True
2239-JALAW,58,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),103.25,6017.65,True
4853-RULSV,70,Yes,Fiber optic,Two year,Yes,Credit card (automatic),104.00,7250.15,True
8098-TDCBU,42,Yes,No,Two year,No,Electronic check,25.25,1108.20,False
3551-GAEGL,34,No,DSL,One year,No,Bank transfer (automatic),30.40,938.65,False
4785-NKHCX,5,Yes,No,Month-to-month,No,Bank transfer (automatic),20.05,94.15,False
3196-NVXLZ,25,Yes,Fiber optic,Month-to-month,Yes,Mailed check,84.60,2088.05,False
6275-YDUVO,2,Yes,Fiber optic,Month-to-month,Yes,Mailed check,86.20,178.70,True
0036-IHMOT,55,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),103.70,5656.75,False
0115-TFERT,21,Yes,Fiber optic,Month-to-month,Yes,Electronic check,111.20,2317.10,True
4178-EGMON,70,Yes,Fiber optic,Two year,Yes,Credit card (automatic),88.00,5986.45,False
4220-TINQT,61,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.35,6751.35,False
5318-YKDPV,43,Yes,DSL,Two year,Yes,Credit card (automatic),79.15,3566.60,False
7975-TZMLR,47,Yes,Fiber optic,One year,Yes,Electronic check,103.10,4889.30,False
0295-QVKPB,5,Yes,DSL,Month-to-month,Yes,Credit card (automatic),63.95,318.10,False
4335-BSMJS,62,Yes,No,Two year,Yes,Credit card (automatic),25.80,1563.95,False
2311-QYMUQ,16,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.45,1430.25,True
3643-AHCFP,7,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),95.60,644.35,True
9146-JRIOX,14,Yes,No,Month-to-month,No,Mailed check,25.55,372.45,False
3104-OWCGK,60,Yes,Fiber optic,One year,No,Electronic check,90.95,5453.40,True
5337-IIWKZ,34,No,DSL,Month-to-month,Yes,Electronic check,44.85,1442.60,False
9101-BWFSS,50,Yes,Fiber optic,One year,No,Electronic check,108.55,5610.70,True
9650-VBUOG,38,Yes,No,Two year,No,Credit card (automatic),25.05,963.95,False
3487-EARAT,70,Yes,DSL,One year,No,Credit card (automatic),74.10,5222.30,False
2672-TGEFF,37,Yes,Fiber optic,Month-to-month,Yes,Electronic check,88.80,3340.55,False
9231-ZJYAM,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.85,292.80,True
4250-WAROZ,60,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.25,5774.55,False
8184-WMOFI,62,Yes,DSL,One year,No,Credit card (automatic),71.40,4487.30,False
6982-SSHFK,1,Yes,DSL,Month-to-month,No,Mailed check,44.40,44.40,True
6092-QZVPP,36,Yes,DSL,Month-to-month,Yes,Credit card (automatic),79.20,2854.95,False
4625-LAMOB,44,Yes,No,Two year,No,Credit card (automatic),20.40,905.55,False
0727-BMPLR,55,Yes,Fiber optic,One year,Yes,Electronic check,100.00,5509.30,True
0392-BZIUW,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),105.00,7589.80,False
1038-ZAGBI,12,Yes,No,One year,No,Bank transfer (automatic),19.80,229.60,True
6549-NNDYT,13,No,DSL,Month-to-month,Yes,Bank transfer (automatic),30.85,394.10,False
3027-ZTDHO,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.90,89.90,True
0422-OHQHQ,15,Yes,No,One year,No,Mailed check,20.55,295.95,False
6916-HIJSE,65,Yes,DSL,Two year,Yes,Bank transfer (automatic),84.85,5459.20,False
2316-ESMLS,12,No,DSL,One year,No,Credit card (automatic),33.15,444.75,False
9778-OGKQZ,72,Yes,DSL,Two year,Yes,Credit card (automatic),92.00,6782.15,False
7408-OFWXJ,72,Yes,DSL,Two year,No,Credit card (automatic),89.80,6510.45,False
6007-TCTST,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),115.80,8476.50,False
2252-NKNSI,52,Yes,DSL,Two year,Yes,Mailed check,85.15,4461.85,False
8713-IGZSO,2,Yes,No,Month-to-month,No,Mailed check,24.85,62.00,False
7905-TVXTA,5,Yes,DSL,Month-to-month,Yes,Electronic check,64.35,352.65,False
7695-PKLCZ,68,Yes,No,Two year,No,Credit card (automatic),20.50,1424.90,False
2382-BCKQJ,62,Yes,Fiber optic,One year,Yes,Electronic check,100.15,6413.65,True
8374-UULRV,72,Yes,DSL,Two year,No,Credit card (automatic),86.05,6309.65,False
2207-NHRJK,1,Yes,DSL,Month-to-month,No,Electronic check,50.80,50.80,True
3224-DFQNQ,66,Yes,Fiber optic,One year,No,Electronic check,89.00,5898.60,False
5275-PMFUT,72,No,DSL,Two year,Yes,Credit card (automatic),64.80,4719.75,False
4795-UXVCJ,26,Yes,No,One year,No,Credit card (automatic),19.80,457.30,False
9777-IQHWP,64,Yes,Fiber optic,Two year,No,Bank transfer (automatic),93.40,5822.30,False
0947-MUGVO,20,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.65,1463.50,True
9944-HKVVB,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.10,307.40,True
4124-MMETB,22,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.65,2104.55,True
3671-SHRSP,4,Yes,Fiber optic,Month-to-month,Yes,Mailed check,80.60,319.15,True
0979-MOZQI,62,No,DSL,Two year,Yes,Bank transfer (automatic),39.00,2337.45,False
2732-ISEZX,5,Yes,No,Month-to-month,Yes,Mailed check,20.50,104.30,False
3313-QKNKB,59,Yes,Fiber optic,One year,No,Electronic check,85.55,5084.65,True
0323-XWWTN,3,Yes,No,Two year,Yes,Mailed check,26.40,121.25,False
1937-OTUKY,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),98.20,7015.90,False
1573-LGXBA,57,Yes,Fiber optic,One year,Yes,Credit card (automatic),97.55,5598.00,False
1764-VUUMT,66,Yes,No,Two year,No,Credit card (automatic),19.95,1269.10,False
5073-WXOYN,60,No,DSL,Month-to-month,Yes,Electronic check,50.80,3027.40,True
4713-ZBURT,45,Yes,Fiber optic,Two year,No,Bank transfer (automatic),99.70,4634.35,False
3050-GBUSH,3,No,DSL,Month-to-month,Yes,Credit card (automatic),34.80,113.95,False
0207-MDKNV,15,Yes,Fiber optic,Month-to-month,No,Electronic check,105.10,1582.75,True
7876-AEHIG,51,No,DSL,One year,No,Bank transfer (automatic),60.15,3077.00,False
7945-HLKEA,60,Yes,DSL,One year,No,Electronic check,64.75,4039.50,False
9342-VNIMQ,33,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),54.65,1665.20,False
9851-KIELU,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,110.10,1043.30,True
3523-BRGUW,26,Yes,No,One year,No,Credit card (automatic),19.30,504.20,False
3908-BLSYF,6,Yes,Fiber optic,Month-to-month,No,Electronic check,83.90,497.55,True
3199-NPKCN,67,Yes,Fiber optic,One year,Yes,Electronic check,111.25,7511.65,False
5170-PTRKA,49,No,DSL,One year,Yes,Credit card (automatic),35.80,1782.00,False
4661-NJEUX,1,Yes,No,Month-to-month,Yes,Mailed check,20.05,20.05,False
2123-AGEEN,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.35,609.65,False
1258-YMZNM,27,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),110.50,2857.60,False
0048-LUMLS,37,Yes,Fiber optic,One year,No,Credit card (automatic),91.20,3247.55,False
7549-MYGPK,63,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.55,6215.35,True
5898-IGSLP,31,Yes,Fiber optic,Month-to-month,No,Electronic check,89.30,2823.00,False
3804-RVTGV,50,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.85,5017.90,True
6259-WJQLC,32,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),81.10,2619.25,False
9227-LUNBG,1,No,DSL,Month-to-month,No,Electronic check,24.60,24.60,True
7997-EASSD,63,Yes,Fiber optic,One year,Yes,Credit card (automatic),81.20,4965.10,False
0730-KOAVE,30,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.30,2679.70,False
8975-SKGRX,71,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),116.10,8310.55,False
0678-RLHVP,53,Yes,Fiber optic,Two year,No,Electronic check,105.55,5682.25,False
4315-MURBD,12,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),98.90,1120.95,True
2267-FPIMA,50,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.40,4914.90,False
1051-GEJLJ,2,Yes,No,Month-to-month,No,Mailed check,19.50,27.55,False
9734-YWGEX,9,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),98.30,923.50,True
2719-BDAQO,17,Yes,Fiber optic,Month-to-month,No,Electronic check,93.85,1625.65,True
5285-MVEHD,56,Yes,Fiber optic,One year,Yes,Credit card (automatic),105.60,6068.65,False
0379-DJQHR,67,Yes,DSL,Two year,No,Credit card (automatic),81.35,5398.60,False
0781-LKXBR,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.50,918.60,True
5543-QDCRY,4,Yes,DSL,Month-to-month,Yes,Electronic check,56.40,234.85,False
0297-RBCSG,19,Yes,DSL,One year,Yes,Bank transfer (automatic),65.35,1231.85,False
4694-PHWFW,8,Yes,No,Month-to-month,No,Mailed check,19.95,170.90,False
0835-JKADZ,71,Yes,Fiber optic,Two year,Yes,Electronic check,111.25,7984.15,False
1907-UBQFC,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,72.85,688.65,True
7508-SMHXL,15,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),89.00,1288.30,False
3865-YIOTT,72,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),106.10,7848.50,False
5993-BQHEA,12,Yes,No,One year,No,Credit card (automatic),20.05,267.00,False
6024-RUGGH,72,Yes,No,Two year,Yes,Bank transfer (automatic),25.20,1798.90,False
6513-EECDB,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.55,73.55,True
3956-CJUST,23,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.40,1643.55,False
4079-WWQQQ,72,No,DSL,Two year,Yes,Bank transfer (automatic),65.55,4807.45,False
6103-BOCOU,26,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.70,2193.00,False
5149-TGWDZ,21,Yes,Fiber optic,One year,Yes,Mailed check,104.55,2239.40,False
7471-WNSUF,60,Yes,No,One year,No,Bank transfer (automatic),24.15,1505.90,False
8942-DBMHZ,12,Yes,No,Month-to-month,No,Mailed check,20.45,255.35,False
4301-VVZKA,16,Yes,Fiber optic,Month-to-month,Yes,Electronic check,75.40,1189.40,False
9199-PWQVC,63,Yes,DSL,One year,Yes,Credit card (automatic),79.70,4786.15,False
4824-GUCBY,22,Yes,Fiber optic,Month-to-month,No,Electronic check,81.70,1820.90,False
5393-HJZSM,32,Yes,DSL,Month-to-month,No,Bank transfer (automatic),76.30,2404.15,False
7074-IEVOJ,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.40,205.05,True
9625-QSTYE,13,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.15,952.30,True
0862-PRCBS,68,Yes,Fiber optic,Two year,Yes,Credit card (automatic),103.75,7039.45,False
8812-ZRHFP,30,Yes,Fiber optic,One year,No,Electronic check,86.45,2538.05,False
5146-CBVOE,16,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),75.10,1212.85,False
0454-OKRCT,33,Yes,Fiber optic,Two year,No,Bank transfer (automatic),80.60,2651.10,False
5787-KXGIY,72,Yes,No,Two year,No,Credit card (automatic),19.30,1304.80,False
4750-ZRXIU,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.60,360.10,True
4198-VFOEA,12,No,DSL,One year,Yes,Mailed check,33.60,435.45,False
6630-UJZMY,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,83.25,308.05,False
5709-LVOEQ,0,Yes,DSL,Two year,No,Mailed check,80.85,0.00,False
6400-BWQKW,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.05,434.50,True
2692-AQCPF,65,Yes,Fiber optic,One year,Yes,Credit card (automatic),108.05,7118.90,False
0347-UBKUZ,15,Yes,No,Month-to-month,No,Mailed check,19.90,320.45,False
0835-DUUIQ,24,Yes,No,One year,No,Bank transfer (automatic),21.05,531.55,False
0811-GSDTP,13,No,DSL,Month-to-month,No,Electronic check,30.15,382.20,False
7567-ECMCM,24,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),79.85,2001.00,False
6115-ZTBFQ,72,No,DSL,Two year,No,Bank transfer (automatic),65.50,4919.70,False
6353-BRMMA,54,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),104.10,5645.80,False
6680-WKXRZ,3,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),74.40,215.80,True
6231-WFGFH,4,Yes,No,Month-to-month,Yes,Mailed check,20.50,77.60,False
9904-EHEVJ,32,Yes,Fiber optic,Month-to-month,Yes,Mailed check,91.35,2896.55,False
7028-DVOIQ,35,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.05,3395.80,True
6169-PPETC,35,Yes,No,Two year,No,Bank transfer (automatic),20.50,759.35,False
4208-UFFGW,2,Yes,DSL,Month-to-month,No,Mailed check,44.95,85.15,True
8584-KMVXD,8,Yes,Fiber optic,Month-to-month,No,Electronic check,75.60,535.55,False
8467-WYNSR,22,Yes,DSL,Month-to-month,No,Mailed check,55.10,1253.15,False
0851-DFJKB,15,Yes,DSL,Month-to-month,No,Electronic check,58.95,955.15,False
5382-SOYZL,22,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.10,2162.60,False
9448-REEVD,1,Yes,DSL,Month-to-month,No,Credit card (automatic),44.70,44.70,True
3261-CQXOL,71,Yes,No,Two year,No,Bank transfer (automatic),25.45,1813.35,False
8388-FYNPZ,4,Yes,DSL,Month-to-month,No,Electronic check,56.75,245.15,False
4002-BQWPQ,25,Yes,DSL,Month-to-month,No,Bank transfer (automatic),81.75,2028.80,False
5651-YLPRD,32,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.10,2723.75,False
2826-DXLQO,7,No,DSL,Month-to-month,No,Bank transfer (automatic),29.80,220.45,False
4378-BZYFP,17,Yes,No,One year,Yes,Mailed check,20.50,365.80,False
9489-UTFKA,8,Yes,DSL,Month-to-month,No,Bank transfer (automatic),60.90,551.95,False
4849-PYRLQ,56,Yes,DSL,Two year,No,Bank transfer (automatic),73.25,4054.20,False
9117-SHLZX,1,Yes,DSL,Month-to-month,Yes,Mailed check,45.70,45.70,True
9889-TMAHG,8,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),100.30,832.35,True
4541-RMRLG,7,Yes,No,Month-to-month,No,Electronic check,19.25,112.30,True
7764-BDPEE,3,Yes,No,Month-to-month,No,Mailed check,20.85,60.65,False
3429-IFLEM,71,Yes,DSL,Two year,No,Credit card (automatic),77.35,5550.10,False
3158-MOERK,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.00,174.80,True
7294-TMAOP,1,Yes,Fiber optic,Month-to-month,No,Electronic check,90.55,90.55,True
5002-GCQFH,49,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.10,False
0556-FJEGU,58,Yes,DSL,Two year,No,Bank transfer (automatic),70.10,4048.95,False
8919-FYFQZ,44,No,DSL,Month-to-month,Yes,Electronic check,30.35,1359.70,True
0604-THJFP,59,Yes,DSL,Two year,Yes,Credit card (automatic),75.95,4542.35,False
2834-JRTUA,71,Yes,Fiber optic,Two year,Yes,Electronic check,108.05,7532.15,True
5875-YPQFJ,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.90,69.90,True
5879-SESNB,11,Yes,Fiber optic,Month-to-month,No,Electronic check,75.25,888.65,False
6646-QVXLR,62,Yes,Fiber optic,One year,Yes,Electronic check,103.75,6383.35,True
6461-PPAXN,35,Yes,DSL,One year,Yes,Bank transfer (automatic),54.95,1916.00,False
3318-ISQFQ,20,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.50,413.00,False
1106-HRLKZ,40,Yes,No,Two year,No,Mailed check,19.60,808.95,False
2483-XSSMZ,39,Yes,DSL,One year,Yes,Electronic check,47.85,1886.40,False
8603-IJWDN,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.60,86.60,True
8165-ZJRNM,72,Yes,No,Two year,No,Bank transfer (automatic),23.75,1679.25,False
9369-XFEHK,33,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.60,2656.50,True
2604-XVDAM,12,Yes,DSL,Month-to-month,No,Bank transfer (automatic),43.80,540.95,False
3717-OFRTN,1,Yes,No,Month-to-month,No,Bank transfer (automatic),19.75,19.75,False
9046-JBFWA,27,Yes,No,Month-to-month,No,Mailed check,19.15,537.35,False
3280-NMUVX,34,Yes,No,One year,No,Credit card (automatic),19.60,678.80,False
1206-EHBDD,56,Yes,Fiber optic,Two year,No,Bank transfer (automatic),80.30,4513.65,False
8361-LBRDI,58,Yes,No,Two year,No,Credit card (automatic),24.35,1423.85,False
4883-KCPZJ,22,Yes,No,Two year,No,Credit card (automatic),25.25,555.40,False
9108-EQPNQ,10,Yes,No,Two year,No,Credit card (automatic),26.10,225.55,False
7277-KAMWT,13,Yes,No,Two year,No,Credit card (automatic),20.00,268.45,False
3842-IYKUE,35,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),85.30,2917.50,True
6641-XRPSU,34,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),70.00,2416.10,True
1374-DMZUI,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.30,424.45,True
2545-LXYVJ,72,Yes,No,Two year,No,Bank transfer (automatic),20.70,1492.10,False
3234-VKACU,2,Yes,DSL,Month-to-month,No,Electronic check,70.30,132.40,False
8357-EQXFO,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.35,660.90,True
1989-PRJHP,27,Yes,Fiber optic,Month-to-month,Yes,Electronic check,75.50,1893.95,True
8120-JDCAM,4,Yes,Fiber optic,Month-to-month,Yes,Mailed check,69.55,284.90,False
8917-FAEMR,37,Yes,No,Two year,No,Mailed check,19.85,784.25,False
7047-YXDMZ,21,Yes,No,Month-to-month,No,Mailed check,20.00,417.70,False
2858-EIMXH,53,Yes,Fiber optic,One year,Yes,Credit card (automatic),95.85,5016.25,False
9524-EGPJC,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.10,1612.75,True
6993-OHLXR,2,Yes,Fiber optic,Month-to-month,No,Electronic check,68.95,119.75,True
8818-XYFCQ,32,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.55,3204.65,True
6419-ZTTLE,23,Yes,No,One year,Yes,Electronic check,20.75,485.20,False
0929-HYQEW,3,Yes,DSL,Month-to-month,Yes,Mailed check,50.15,160.85,False
6614-YOLAC,71,No,DSL,Two year,No,Mailed check,58.65,4145.25,False
7426-RHZGU,9,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),95.90,827.45,False
4065-JJAVA,1,Yes,DSL,Month-to-month,No,Electronic check,49.50,49.50,False
4695-VADHF,18,Yes,DSL,Month-to-month,No,Electronic check,57.45,990.85,True
3863-IUBJR,12,Yes,DSL,One year,No,Credit card (automatic),53.65,696.35,True
7649-SIJJF,71,Yes,DSL,Two year,Yes,Mailed check,80.10,5585.40,False
9361-YNQWJ,64,Yes,No,One year,Yes,Bank transfer (automatic),24.40,1601.20,False
3748-FVMZZ,4,No,DSL,Month-to-month,Yes,Electronic check,40.05,162.45,False
9391-TTOYH,23,Yes,No,Month-to-month,Yes,Mailed check,19.50,470.20,False
1452-XRSJV,39,Yes,DSL,Month-to-month,No,Credit card (automatic),51.05,2066.00,False
3422-WJOYD,28,Yes,DSL,One year,No,Mailed check,54.35,1426.45,False
8242-SOQUO,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.70,392.50,False
7460-ITWWP,45,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.10,3861.45,False
7147-AYBAA,37,Yes,Fiber optic,Month-to-month,Yes,Mailed check,70.35,2552.90,False
7868-TMWMZ,60,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),110.00,6668.35,False
4822-RVYBB,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.60,819.40,True
6732-FZUGP,47,Yes,Fiber optic,One year,No,Credit card (automatic),94.90,4615.25,False
8436-BJUMM,26,Yes,Fiber optic,Month-to-month,Yes,Electronic check,83.75,2070.60,True
4184-TJFAN,3,Yes,Fiber optic,Month-to-month,Yes,Mailed check,88.30,273.75,True
8329-GWVPJ,50,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),69.75,3557.70,False
1352-VHKAJ,27,Yes,DSL,Month-to-month,No,Bank transfer (automatic),71.60,1957.10,False
4145-UQXUQ,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,92.10,729.95,True
2632-TACXW,62,Yes,No,Two year,No,Bank transfer (automatic),23.65,1416.75,False
8146-QQKZH,71,Yes,DSL,Two year,No,Bank transfer (automatic),81.85,5924.40,False
1767-CJKBA,66,Yes,No,Two year,No,Mailed check,25.10,1697.70,False
6445-TNRXS,68,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),114.70,7849.85,False
4581-LNWUM,13,No,DSL,Month-to-month,No,Electronic check,49.15,649.40,False
4869-EPIUS,56,Yes,Fiber optic,One year,Yes,Electronic check,80.90,4557.50,False
9948-YPTDG,38,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.45,3013.05,True
1236-WFCDV,14,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),90.45,1266.10,True
1915-OAKWD,16,Yes,No,One year,Yes,Bank transfer (automatic),19.30,360.35,False
7296-PIXQY,14,Yes,Fiber optic,Month-to-month,No,Electronic check,70.20,1046.50,False
4883-QICIH,32,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),69.75,2347.90,True
3354-OADJP,8,Yes,DSL,One year,No,Bank transfer (automatic),54.25,447.75,False
3524-WQDSG,43,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),99.30,4209.95,False
0810-DHDBD,52,Yes,DSL,One year,No,Credit card (automatic),74.00,3877.65,False
4026-SKKHW,3,Yes,DSL,Month-to-month,Yes,Mailed check,50.25,152.30,False
2829-HYVZP,29,Yes,No,One year,Yes,Mailed check,19.80,572.20,False
8329-IBCTI,1,Yes,No,Month-to-month,No,Mailed check,19.65,19.65,True
1271-SJBGZ,12,No,DSL,Month-to-month,Yes,Electronic check,43.65,526.95,True
3845-JHAMY,16,No,DSL,Month-to-month,Yes,Credit card (automatic),35.50,552.70,False
7013-PSXHK,40,Yes,DSL,One year,Yes,Mailed check,80.75,3208.65,False
5669-SRAIP,5,No,DSL,Month-to-month,No,Electronic check,39.50,210.75,True
5981-ITEMU,40,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),97.10,3706.95,True
3486-NPGST,36,Yes,No,One year,No,Mailed check,19.55,620.75,False
6941-PMGEP,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.00,412.50,True
1624-WOIWJ,10,Yes,Fiber optic,Month-to-month,Yes,Mailed check,84.70,832.05,True
