Manufacturer Name,NDC Number,Drug Product Description,Date Introduced to Market,WAC at Introduction,Marketing/Pricing Plan Description,Marketing/Pricing Plan Non-Public Indicator,Estimated Number of Patients,Breakthrough Therapy Indicator,Priority Review Indicator,Acquisition Date,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,General Comments,Supporting Documents
Mylan Institutional Inc,42292005105,"Erlotinib Hydrochloride Tablets, 25mg, Unit Dose, 20s",2019-05-29,1654.0000,,1,540000,,,,,,,"According to the American Lung Association, approximately 540,000 living Americans have been diagnosed with lung cancer.  Approximately 85 percent of those lung cancer cases are NSCLC.    This product was not a result of an acquisition.",
Mylan Institutional Inc,42292005205,"Erlotinib Hydrochloride Tablets, 100mg, Unit Dose, 20s",2019-05-29,4542.9900,,1,540000,,,,,,,"According to the American Lung Association, approximately 540,000 living Americans have been diagnosed with lung cancer.  Approximately 85 percent of those lung cancer cases are NSCLC.    This product was not a result of an acquisition.",
Mylan Institutional Inc,42292005305,"Erlotinib Hydrochloride Tablets, 150mg, Unit Dose, 20s",2019-05-29,5138.4500,,1,540000,,,,,,,"According to the American Lung Association, approximately 540,000 living Americans have been diagnosed with lung cancer.  Approximately 85 percent of those lung cancer cases are NSCLC.    This product was not a result of an acquisition.",
Mylan Institutional Inc,67457096701,Hydroxyprogesterone Caproate 250mg/mL 1mL Injection 1PK,2019-08-23,682.5500,,1,29011965,,1,,,,,"Hydroxyprogesterone Caproate Injection, USP is indicated in non-pregnant women: for the treatment of advanced adenocarcinoma of the uterine corpus (Stage III or IV); in the management of amenorrhea (primary and secondary) and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as submucous fibroids or uterine cancer; as a test for endogenous estrogen production and for the production of secretory endometrium and desquamation; therefore, the estimated number of patients has been calculated to include the total current population of the United States that may suffer from an indication and be prescribed this medication. In 2016, there were an estimated 772,245 women living with uterine cancer in the United States. [LINK] The prevalence of amenorrhea that is not due to pregnancy, lactation, or menopause is 3 to 4%. [LINK] Up to 14 percent of women experience irregular or excessively heavy menstrual bleeding. [LINK]   Please note that Mylan did not acquire the ANDA within the meaning of Health and Safety Code (“HSC”) Section 127681(b)(4) and California Code of Regulations, Title 22, Section 96076(b)(4).  Instead, Mylan executed a licensing agreement with the ANDA holder.  This agreement, including the parties, terms, and financial arrangement, is confidential information that is not in the public domain or publicly available.  As such, pursuant to HSC 127681(c) and California Code of Regulations, Title 22, Section 96076(c), the information in this report is limited to that which is otherwise in the public domain or publicly available.",
Mylan Institutional Inc,67457031105,Fulvestrant 50mg/mL 5mL PFS 2PK,2019-09-09,1745.1500,,1,179962,,1,,,,,"Fulvestrant 50mg/mL 5mL Injection is indicated for (1) Monotherapy: Hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced breast cancer in postmenopausal women not previously treated with endocrine therapy, or HR-positive advanced breast cancer in postmenopausal women with disease progression following endocrine therapy; and (2) Combination Therapy: HR-positive, HER2-negative advanced or metastatic breast cancer in postmenopausal women in combination with ribociclib as initial endocrine based therapy or following disease progression on endocrine therapy, or HR-positive, HER2-negative advanced or metastatic breast cancer in combination with palbociclib or abemaciclib in women with disease progression after endocrine therapy. In 2019, an estimated 268,600 new cases of invasive breast cancer are expected to be diagnosed in women in the U.S. (LINK) According to the National Institute of Cancer the total percentage of breast cancer that is the subtype HR+/HER2- is 67%. (LINK) Therefore, an estimated 179,962 (67% of 268,600) women in the United States may be prescribed the product. Note, there is difficultly in further defining a number of patients that may be prescribed as (1) the number of new cases state above includes both pre-menopausal (out of scope of indication) and post-menopausal women, and (2) does not account for how many may become post-menopausal during treatment or how many patients may be added year after year that may be in progression. The acquisition date and price fields are not applicable for this submission as the Product was not the result of an acquisition.",https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/Q3-New-Drug-Public-Release-Supporting-Documents/Mylan-Fulvestrant-FDA-Ack-Letter.pdf
Mylan Pharmaceuticals Inc,00378713193,"Erlotinib Hydrochloride Tablets, 25mg, 30s",2019-05-09,2481.0000,,1,613554,,,,,,,"According to the American Lung Association, approximately 540,000 living Americans have been diagnosed with lung cancer. Approximately 85 percent of those lung cancer cases are NSCLC.  This product was not the result of an acquisition.",
Mylan Pharmaceuticals Inc,00378713293,"Erlotinib Hydrochloride Tablets, 100mg, 30s",2019-05-09,6814.4800,,1,613554,,,,,,,"According to the American Lung Association, approximately 540,000 living Americans have been diagnosed with lung cancer. Approximately 85 percent of those lung cancer cases are NSCLC.  This product was not the result of an acquisition.",
Mylan Pharmaceuticals Inc,00378713393,"Erlotinib Hydrochloride Tablets, 150mg, 30s",2019-05-09,7707.6800,,1,613554,,,,,,,"According to the American Lung Association, approximately 540,000 living Americans have been diagnosed with lung cancer. Approximately 85 percent of those lung cancer cases are NSCLC.  This product was not the result of an acquisition.",
Mylan Pharmaceuticals Inc,00378427093,"Ambrisentan Tablets, 5mg, 30s",2019-05-07,1152.0400,,1,5270,,1,,,,,"According to the American Lung Association, 15-50 people per million in the United States are affected by pulmonary arterial hypertension.  This product was not the result of an acquisition.",
Mylan Pharmaceuticals Inc,00378427193,"Ambrisentan Tablets, 10mg, 30s",2019-05-07,1152.0400,,1,5270,,1,,,,,"According to the American Lung Association, 15-50 people per million in the United States are affected by pulmonary arterial hypertension.  This product was not the result of an acquisition.",
Mylan Pharmaceuticals Inc,00378619793,"Cinacalcet Hydrochloride Tablets, 30mg, 30s",2019-05-23,685.7000,,1,,,,,,,,"Approximately 30,000,000 people in the United States are living with chronic kidney disease, according to the American Kidney Fund.    This product was not the result of an acquisition.",
Mylan Pharmaceuticals Inc,00378619693,"Cinacalcet Hydrochloride Tablets, 60mg, 30s",2019-05-23,1371.3900,,1,,,,,,,,"Approximately 30,000,000 people in the United States are living with chronic kidney disease, according to the American Kidney Fund.    This product was not the result of an acquisition.",
Mylan Pharmaceuticals Inc,00378619593,"Cinacalcet Hydrochloride Tablets, 90mg, 30s",2019-05-23,2057.0900,,1,,,,,,,,"Approximately 30,000,000 people in the United States are living with chronic kidney disease, according to the American Kidney Fund.    This product was not the result of an acquisition.",
Asegua Therapeutics LLC,72626260101,agLDV/SOF (ledipasvir 90 mg/sofosbuvir 400 mg) tablets,2019-01-02,8000.0000,"Consistent with Section 127681(c) of the California Health and Safety Code, Asegua is limiting its response to that which is otherwise in the public domain or publicly available. The authorized generics launched at a list price of $24,000 for the most common course of therapy. In the Medicare Part D setting, the authorized generics could save patients up to $2,500 in out-of-pocket costs per course of therapy. The authorized generics will also offer substantial savings to state managed Medicaid plans that do not currently benefit from negotiated rebates and that represent a significant number of people in need, potentially opening up access to beneficiaries who were previously denied coverage.",,,,,,,,Response to “Acquisition Date” and “Acquisition Price”: These questions are not relevant to the authorized generic scenario.,"Response to ""Estimated Number of Patients"": Consistent with Section 127681(c) of the California Health and Safety Code, Asegua is limiting its response to that which is otherwise in the public domain or publicly available. In the Medicare Part D setting, the authorized generics could save patients up to $2,500 in out-of-pocket costs per course of therapy. The authorized generics will also offer substantial savings to state managed Medicaid plans that do not currently benefit from negotiated rebates and that represent a significant number of people in need, potentially opening up access to beneficiaries who were previously denied coverage.  Response to “Breakthrough Therapy?” and “Priority Review?”: These questions are not relevant to the authorized generic scenario.",
Asegua Therapeutics LLC,72626270101,agSOF/VEL (sofosbuvir 400 mg/velpatasvir 100 mg) tablets,2019-01-02,12000.0000,"Consistent with Section 127681(c) of the California Health and Safety Code, Asegua is limiting its response to that which is otherwise in the public domain or publicly available. The authorized generics launched at a list price of $24,000 for the most common course of therapy. In the Medicare Part D setting, the authorized generics could save patients up to $2,500 in out-of-pocket costs per course of therapy. The authorized generics will also offer substantial savings to state managed Medicaid plans that do not currently benefit from negotiated rebates and that represent a significant number of people in need, potentially opening up access to beneficiaries who were previously denied coverage.",,,,,,,,Response to “Acquisition Date” and “Acquisition Price”: These questions are not relevant to the authorized generic scenario.,"Response to ""Estimated Number of Patients"": Consistent with Section 127681(c) of the California Health and Safety Code, Asegua is limiting its response to that which is otherwise in the public domain or publicly available. In the Medicare Part D setting, the authorized generics could save patients up to $2,500 in out-of-pocket costs per course of therapy. The authorized generics will also offer substantial savings to state managed Medicaid plans that do not currently benefit from negotiated rebates and that represent a significant number of people in need, potentially opening up access to beneficiaries who were previously denied coverage.  Response to “Breakthrough Therapy?” and “Priority Review?”: These questions are not relevant to the authorized generic scenario.",
"Astellas Pharma US, Inc.",00469133050,Prograf Granules (tacrolimus for oral suspension) 1mg,2019-03-12,388.0500,,1,,,,,,,,"Astellas has not released the information requested in column 7 (estimated volume of patients that may be prescribed the drug) in the public domain. Further, Astellas does not believe this information is in the public domain or publicly available. As a result, Astellas is limiting its response to this reporting requirement pursuant to Cal. Health & Safety Code Section 127681(c). Prograf Granules was not acquired; therefore, columns 10 – 13 are intentionally left blank.",
"Astellas Pharma US, Inc.",00469123050,Prograf Granules (tacrolimus for oral suspension) 0.2mg,2019-03-12,260.0000,,1,,,,,,,,"Astellas has not released the information requested in column 7 (estimated volume of patients that may be prescribed the drug) in the public domain. Further, Astellas does not believe this information is in the public domain or publicly available. As a result, Astellas is limiting its response to this reporting requirement pursuant to Cal. Health & Safety Code Section 127681(c). Prograf Granules was not acquired; therefore, columns 10 – 13 are intentionally left blank.",
Baxter Healthcare Corporation,00338955810,EPTIFIBATIDE,2019-02-21,240.0000,,1,,,,,,,Not aquired,This is the seventh Eptifibatide on the market in the US.  The first is a flexible IV container.    Marketing pricing plan and estimated patient numbers are not publicly available or in the public domain and are therefore being kept confidential.,
"Paratek Pharmaceuticals, Inc.",71715000221,NUZYRA 150mg omadacycline tablets 6ct blister pack,2019-02-01,1185.0000,,1,12000,,1,,,,,,
"Paratek Pharmaceuticals, Inc.",71715000223,NUZYRA 150mg omadacycline tablets 14ct Blister Pack,2019-02-01,2765.0000,,1,12000,,1,,,,,,
"Paratek Pharmaceuticals, Inc.",71715000224,NUZYRA 150mg omadacycline tablets 16ct blister pack,2019-02-01,3160.0000,,1,12000,,1,,,,,,
"Paratek Pharmaceuticals, Inc.",71715000102,NUZYRA 150mg single dose vial 10ct carton,2019-02-01,3450.0000,,1,12000,,1,,,,,,
"Titan Pharmaceuticals, Inc.",52440010014,Probuphine Implant,2019-03-01,4950.0000,,1,800,,,,,1,"Product was marketed previously under the Braeburn labeler code, but Braeburn had a contract to market this product for Titan. Titan then took this back and started marketing the product again under their labeler code. The first shipment was available to consumers on 3/1/2019 for the Titan labeler code.",,
"Kyowa Kirin, Inc.",42747060290,"20 mg 90 Tablet, Film Coated in 1 Bottle",2019-09-19,4500.0000,,1,,,,,,,,The estimated number of patients is unknown at this time and an analysis has not been done at this level.  An Acquisition Price is N/A as Kyowa Kirin developed the drug.,
"Kyowa Kirin, Inc.",42747060490,"40 mg 90 Tablet, Film Coated in 1 Bottle",2019-09-19,4500.0000,,1,,,,,,,,The estimated number of patients is unknown at this time and an analysis has not been done at this level.  An Acquisition Price is N/A as Kyowa Kirin developed the drug.,
Ferring Pharmaceuticals,55566100001,ganirelix,2019-02-14,184.0200,,1,,1,,2018-12-14,,1,,1) report previously submitted so we do not agree we are delinquent 2)number of patients is non public,
ViiV Healthcare,49702024613,DOVATO TAB 50-300MG,2019-04-23,2295.0000,,1,,,,,,,,"Regarding Marketing/Pricing Plan Description, ViiV has not released DOVATO's marketing or pricing plan information in the public domain and is limiting its response to that which is publicly available pursuant to California Code of Regulations, Title 22, Division 7, Chapter 9.5 Section 96076(c).  Regarding estimated number of patients in the US  that may be prescribed DOVATO, ViiV has not released this information in the public domain and is limiting its response to that which is publicly available pursuant to California Code of Regulations, Title 22, Division 7, Chapter 9.5 Section 96076(c).  DOVATO was not granted breakthrough therapy designation or priority review by the federal Food And Drug Administration.    Note on Acquisition Fields: This drug was developed by ViiV Healthcare, therefore the following fields related to drug acquisition have been left blank: ACQUISITION_DATE, ACQUISITION_PRICE, ACQUISITION_PRICE_NONPUBLIC, ACQUISITION_PRICE_COMMENT.",
"Otsuka America Pharmaceutical, Inc.",59148002985,ABILIFY MYCITE 2mg (aripiprazole tablets with sensor),2019-03-04,1650.0000,,1,,,,,,,,please see attached document,https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/California-SB17_NewDrug30-DayInformation_OAPI2019.pdf
"Otsuka America Pharmaceutical, Inc.",59148003085,ABILIFY MYCITE 5mg (aripiprazole tablets with sensor),2019-03-04,1650.0000,,1,,,,,,,,please see attached document,https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/California-SB17_NewDrug30-DayInformation_OAPI2019.pdf
"Otsuka America Pharmaceutical, Inc.",59148003185,ABILIFY MYCITE 10mg (aripiprazole tablets with sensor),2019-03-04,1650.0000,,1,,,,,,,,please see attached document,https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/California-SB17_NewDrug30-DayInformation_OAPI2019.pdf
"Otsuka America Pharmaceutical, Inc.",59148003285,ABILIFY MYCITE 15mg (aripiprazole tablets with sensor),2019-03-04,1650.0000,,1,,,,,,,,please see attached document,https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/California-SB17_NewDrug30-DayInformation_OAPI2019.pdf
"Otsuka America Pharmaceutical, Inc.",59148003385,ABILIFY MYCITE 20mg (aripiprazole tablets with sensor),2019-03-04,1650.0000,,1,,,,,,,,please see attached document,https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/California-SB17_NewDrug30-DayInformation_OAPI2019.pdf
"Otsuka America Pharmaceutical, Inc.",59148003485,ABILIFY MYCITE 30mg (aripiprazole tablets with sensor),2019-03-04,1650.0000,,1,,,,,,,,please see attached document,https://oshpd.ca.gov/ml/v1/resources/document?rs:path=/Data-And-Reports/Documents/Topics/Cost-Transparency/Rx/California-SB17_NewDrug30-DayInformation_OAPI2019.pdf
Amgen,55513088002,Evenity 210 mg/2.34 mL (105 mg/1.17 mL x 2),2019-04-15,1825.0000,,1,,,,,,,,"The estimated number of patients is not available in the public domain. In the U.S., 10 million Americans suffer from osteoporosis, and the disease is responsible for an estimated two million fractures per year. However, only 20 percent of patients who have had one or more osteoporotic-related fractures are treated. Acquisition date and acquisition price not applicable; Amgen co-developed this product with UCB",
Amgen,55513013201,KANJINTI (420 mg multi dose vial),2019-07-19,3697.2600,"US Marketing Plan: There will be no direct-to-consumer marketing for KANJINTI such as TV ads, magazine or journal ads.  The only platform directed to patients is a section of the KANJINTI.com website entitled “For Patients – Getting to Know KANJINTI”.  This section of the website is designed to educate patients about HER2+ breast or gastric cancer and potential treatment with KANJINTI, including important safety information.    Promotional activities to physicians will include professional detailing by Amgen sales representatives.  Amgen is utilizing its existing oncology sales force to educate health care professionals about KANJINTI, including the requirements for establishing biosimilarity to the reference product, Herceptin, and important safety information.  Professional detailing entails resources such as a core visual aid, clinical reprints, and promotional leave-behind literature.  There is no free drug or sample program.  Amgen also contracts with payors and providers such as hospitals and clinics to offer KANJINTI at a competitive price and ensure access to the product for appropriate patients.  International Marketing Plan: marketing plan information is not in the public domain.  Reg. § 96076(c).  US Pricing Plan: The U.S. Wholesale Acquisition Cost (WAC or ""list price"") of KANJINTI will be 15% lower than their reference products.  KANJINTI is being made available at a WAC of $3,697.26 per 420 mg multi-dose vial, 15% below the WAC of Herceptin. At launch, KANJINTI is priced 13% below the current Herceptin Average Selling Price (ASP).   International Pricing Plan: pricing plan information is not in the public domain.  Reg. § 96076(c).",,,,,,,,,Our estimate of appropriate patients potentially treatable with the class of drug to which KANJINTI belongs is ~42K a year and we intend to compete with other drugs in this class for a share of that patient population.  Acquisition date and acquisition price not applicable as Amgen developed this drug product,
Amgen,55513020601,MVASI (100 mg/4mL single dose vial),2019-07-19,677.4000,"US Marketing Plan: There will be no direct-to-consumer marketing for MVASI such as TV ads, magazine or journal ads.  The only platform directed to patients is a section of the MVASI.com website entitled “For Patients – Getting to Know MAVSI”.  This section of the website is designed to educate patients about potential cancer treatment with MVASI, specifically for metastatic colorectal cancer (mCRC), advanced non-squamous non-small cell lung cancer (NSCLC), recurrent glioblastoma (rGBM), metastatic renal cell carcinoma (mRCC), and advanced cervical cancer (CC), including important safety information.    Promotional activities to physicians will include professional detailing by Amgen sales representatives.  Amgen is utilizing its existing oncology sales force to educate health care professionals about MVASI, including the requirements for establishing biosimilarity to the reference product, Avastin, and important safety information.  Professional detailing entails resources such as a core visual aid, clinical reprints, and promotional leave-behind literature.  There is no free drug or sample program.  Amgen also contracts with payors and providers such a hospitals and clinics to offer MVASI at a competitive price and ensure access to the product for appropriate patients.  International Marketing Plan: marketing plan information is not in the public domain.  Reg. § 96076(c).  US Pricing Plan: The U.S. Wholesale Acquisition Cost (WAC or ""list price"") of MVASI will be 15% lower than their reference products. MVASI is being made available at a WAC of $677.40 per 100 mg and $2,709.60 per 400 mg single-dose vial, 15% less than the WAC for Avastin.  At launch, MVASI is priced 12% below the current Avastin Average Selling Price (ASP).  International Pricing Plan: pricing plan information is not in the public domain.  Reg. § 96076(c).",,,,,,,,,Our estimate of appropriate patients potentially treatable with the class of drug to which MVASI belongs is ~40K a year and we intend to compete with other drugs in this class for a share of that patient population  Acquisition date and acquisition price not applicable as Amgen developed this drug product,
Amgen,55513020701,MVASI (400 mg/16mL single dose vial),2019-07-19,2709.6000,"US Marketing Plan: There will be no direct-to-consumer marketing for MVASI such as TV ads, magazine or journal ads.  The only platform directed to patients is a section of the MVASI.com website entitled “For Patients – Getting to Know MAVSI”.  This section of the website is designed to educate patients about potential cancer treatment with MVASI, specifically for metastatic colorectal cancer (mCRC), advanced non-squamous non-small cell lung cancer (NSCLC), recurrent glioblastoma (rGBM), metastatic renal cell carcinoma (mRCC), and advanced cervical cancer (CC), including important safety information.    Promotional activities to physicians will include professional detailing by Amgen sales representatives.  Amgen is utilizing its existing oncology sales force to educate health care professionals about MVASI, including the requirements for establishing biosimilarity to the reference product, Avastin, and important safety information.  Professional detailing entails resources such as a core visual aid, clinical reprints, and promotional leave-behind literature.  There is no free drug or sample program.  Amgen also contracts with payors and providers such a hospitals and clinics to offer MVASI at a competitive price and ensure access to the product for appropriate patients.  International Marketing Plan: marketing plan information is not in the public domain.  Reg. § 96076(c).  US Pricing Plan: The U.S. Wholesale Acquisition Cost (WAC or ""list price"") of MVASI will be 15% lower than their reference products. MVASI is being made available at a WAC of $677.40 per 100 mg and $2,709.60 per 400 mg single-dose vial, 15% less than the WAC for Avastin.  At launch, MVASI is priced 12% below the current Avastin Average Selling Price (ASP).  International Pricing Plan: pricing plan information is not in the public domain.  Reg. § 96076(c).",,,,,,,,,Our estimate of appropriate patients potentially treatable with the class of drug to which MVASI belongs is ~40K a year and we intend to compete with other drugs in this class for a share of that patient population  Acquisition date and acquisition price not applicable as Amgen developed this drug product,
"TWi Pharmaceuticals USA, Inc.",24979003504,Cyclobenzaprine Hydrochloride ER Capsule 15mg-60’s,2019-03-01,900.0000,,1,3534,,,,,1,,Estimated number of patient is actually estimated number of bottles. We currently do not have an estimated number of patients that will be taking this product.,
"TWi Pharmaceuticals USA, Inc.",24979003604,Cyclobenzaprine HCl ER Oral Capsule Extended Release 24 Hour 30 MG,2019-03-01,900.0000,,1,1485,,,,,1,,Estimated number of patients is actually estimated number of bottles. TWI does not currently have an estimated number of patients that will be taking this product on an annual basis.,
Mayne Pharma Inc,51862060602,Halobetasol Propionate 0.05% Foam - Hydroalcoholic,2019-01-14,1473.4600,,1,,,,2018-10-25,15000000.0000,,Total Halobetasol acquisition cost: $15million plus additional contingent earnout payments,"For additional information, please visit: https://www.maynepharma.com/media/2211/myx-announces-acquisition-of-fda-approved-halobetasol-foam.pdf *Please also be advised that the estimated number of patients is not currently reported as we do not have the full scope of this data yet",
Mayne Pharma Inc,51862060650,Halobetasol Propionate 0.05% Foam - Hydroalcoholic,2019-01-14,770.7200,,1,,,,2018-10-25,15000000.0000,,Total Halobetasol acquisition cost: $15million plus additional contingent earnout payments,"For additional information, please visit: https://www.maynepharma.com/media/2211/myx-announces-acquisition-of-fda-approved-halobetasol-foam.pdf *Please also be advised that the estimated number of patients is not currently reported as we do not have the full scope of this data yet",
Mayne Pharma Inc,51862063428,Fentanyl Buccal 100mcg Tabs 28,2019-06-19,1300.5100,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,
Mayne Pharma Inc,51862063528,Fentanyl Buccal 200mcg Tabs 28,2019-06-19,1643.1400,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,
Mayne Pharma Inc,51862063628,Fentanyl Buccal 400mcg Tabs 28,2019-06-19,2384.0600,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,
Mayne Pharma Inc,51862063728,Fentanyl Buccal 600mcg Tabs 28,2019-06-19,3095.2100,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,
Mayne Pharma Inc,51862063828,Fentanyl Buccal 800mcg Tabs 28,2019-06-19,3813.1700,,1,,,,,,,,License deal June 2019.  Please be advised that the number of patients reported is not reported as Mayne Pharma does not have this data.,
Novartis,00078098615,"MAYZENTTM is available as 2 mg tablet (equivalent to 2.224mg siponimod fumaric acid): pale yellow, unscored, round biconvex film-coated tablet with beveled edges, debossed with Novartis symbol on one side and “T” on other side.",2019-03-27,7273.9700,"Novartis considered many factors in determining the price of Mayzent. As the first oral drug to delay disability progression in RRMS, CIS, and active SPMS, Mayzent is poised to substantially reduce the burden of the condition on patients, caregivers, employers, insurers, the US healthcare system and society as a whole.  We are focused on access to Mayzent for this patient population.",,320000,,1,,,,,"Novartis used a priority review voucher. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
Novartis,00078097950,"MAYZENTTM is available as 0.25 mg tablet (equivalent to 0.278mg siponimod fumaric acid): Pale red, unscored, round biconvex film-coated tablet with beveled edges, debossed with Novartis symbol on one side and “T” on other side.",2019-03-27,1697.2600,"Novartis considered many factors in determining the price of Mayzent. As the first oral drug to delay disability progression in RRMS, CIS, and active SPMS, Mayzent is poised to substantially reduce the burden of the condition on patients, caregivers, employers, insurers, the US healthcare system and society as a whole.  We are focused on access to Mayzent for this patient population.",,320000,,1,,,,,"Novartis used a priority review voucher. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
Novartis,00078070802,Piqray 300 mg /56 tablets (150mg tabs),2019-05-24,15500.0000,"Novartis considered many factors in determining the price of Piqray.  We consider the value the medicine brings to the patient population, the healthcare system, and society. We also consider the research and development costs,  as well as ongoing costs for marketing, regulatory commitments, ongoing pharmacovigilance, and market conditions and dynamics. Piqray is the first and only treatment specifically for the approximately 40% of HR+/HER2- advanced breast cancer patients with a PIK3CA mutation, bringing a biomarker-driven therapy option to people with HR+/HER2- advanced breast cancer for the first time. Advanced breast cancer is incurable, and patients with all types need more treatment options. With this approval, physicians can now use an FDA-approved test to determine if their patients’ HR+/HER2- advanced breast cancer has a PIK3CA mutation and may benefit from Piqray combination therapy. We are focused on access to Piqray for this patient population.",,43000,,,,,,,"Novartis developed Piqray. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
Novartis,00078071502,Piqray 250 mg / 56 tablets (28 of the 200 mg tabs & 28 of the 50 mg tabs),2019-05-24,15500.0000,"Novartis considered many factors in determining the price of Piqray.  We consider the value the medicine brings to the patient population, the healthcare system, and society. We also consider the research and development costs,  as well as ongoing costs for marketing, regulatory commitments, ongoing pharmacovigilance, and market conditions and dynamics. Piqray is the first and only treatment specifically for the approximately 40% of HR+/HER2- advanced breast cancer patients with a PIK3CA mutation, bringing a biomarker-driven therapy option to people with HR+/HER2- advanced breast cancer for the first time. Advanced breast cancer is incurable, and patients with all types need more treatment options. With this approval, physicians can now use an FDA-approved test to determine if their patients’ HR+/HER2- advanced breast cancer has a PIK3CA mutation and may benefit from Piqray combination therapy. We are focused on access to Piqray for this patient population.",,43000,,,,,,,"Novartis developed Piqray. Novartis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, Novartis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to Novartis or any of its affiliates now or in the future. Novartis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all Novartis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all Novartis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
